#,Tracker,Status,Priority,Subject,Assignee,Updated,Description,Last notes
21360,??????,?????,???????,"??????????? ????????? ????? ""???????? ?????"" ? ??????? ""????????""",Dubrovin Denis,07/06/2023 10:43 AM,"???? ???????????????:
1. ??????? ???? https://ibis.net.ua/
2. ????????? ? ?????? ""????????""
3. ????????? ????? ""???????? ?????""
   1. ??? - ???????????, ?????, ?????.
   2. Email - ???????????
   3. ??????? - ??????????? ????? 20 ????????

https://gyazo.com/083526b673b2b6bcbbe9bc26797414a4

????????? ?????????: ?????????? ?????? ? ??????? ??????????? ?????
??????????? ?????????: ????? ???????????? ? ????????????? ???????.

",""
21359,??????,?????,??????????,"?? ?????????????? ?????? ?? Messenger, ? ??????? ???????? ?????.",Dubrovin Denis,07/06/2023 10:31 AM,"???? ???????????????:
1. ??????? ???? https://ibis.net.ua/
2. ???????? ?????? ???????? ?????.
3. ??????? Messenger ? ???????? ?????? ?????.

????????? ?????????: ??????????? Messenger ??? ????? ? ??????????.
??????????? ?????????: ??????. ??? ???????? ??????????
????????, ?? ??????????????? ???????????????? ??????? ??? ???????? ???? ???????.
",""
21358,??????,?????,??????????,"??? ??????????? ??????? ""???????? ?????""",Dubrovin Denis,07/06/2023 10:25 AM,"???? ???????????????:
1. ??????? ???? https://ibis.net.ua/
2. ??????? ??????? ???????????.
3. ???????? ?????? ???????? ?????.

????????? ?????????: ?????? ????????? ?? ?????? ????
??????????? ?????????: ?????? ?? ?????????? ?????",""
21357,??????,?????,??????????,??????????? ??????????? ??????? ?? ??????? ????????.,Dubrovin Denis,07/06/2023 10:20 AM,"???? ???????????????:
1. ??????? ???? https://ibis.net.ua/
2. ??????? ??????? ???????????

????????? ?????????: ?????? ????????????? ?? ??????? ?????
??????????? ?????????: ?????? ???????? ?? ?????????? ?????",""
21356,??????,?????,???????,???????? ?????????? ?????? ?? ??????? ? ???????.,Dubrovin Denis,07/06/2023 10:11 AM,"???? ???????????????:
1. ??????? ???? https://ibis.net.ua/
2. ??????? ? ?????? ""?????????? ??????""
3. ??????????? ?????, ?? ???????? ? ????????.

https://gyazo.com/817c1ca3b904865c789b72d0ad884a8a

????????? ?????????: ???? ??????????? ?? ???????? ? ????????.
??????????? ?????????: ???? ?????????? ????????.",""
21355,??????,?????,??????????,?? ?????????????? ?????? ?? ?????????.,Dubrovin Denis,07/06/2023 10:04 AM,"???? ???????????????:
1. ??????? ???? https://ibis.net.ua/
2. ? ?????? ???????? ?????? ""Instagram"" 

????????? ?????????: ?????? ????? ?? ???????? ?????????
??????????? ?????????: ??????. ? ?????????, ??? ???????? ??????????.
????????, ?? ??????????????? ???????????????? ??????? ??? ???????? ???? ???????. ????? ? Instagram.",""
21354,??????,?????,??????????,"?????????????? ????? ??????????? ??? ???????? ? ?????? ""??? ????????""",Dubrovin Denis,07/06/2023 09:48 AM,"???? ???????????????:
1. ??????? ???? https://ibis.net.ua/
2. ??????? ? ?????, ?????? ?????? ""? ????????""

https://gyazo.com/4186e763b81abd2515b1bee48b94bffe

????????? ?????????: ???????? ??????????? ?? ????????? ?????
??????????? ?????????: ?????????? ?????????????? ????? ????? ?? ??????????. ",""
21353,??????,?????,??????????,"??? ??????????? ??????? ???????????, ???????? ? ??????.",Dubrovin Denis,07/06/2023 09:35 AM,"???? ???????????????:
1. ??????? ???? https://ibis.net.ua/
2. ??????? ? ?????. 

https://gyazo.com/d8e0e4f4c5f9d9ebeb2fb730ae613a6a 

????????? ?????????: ??????????? ????? ??????? ???????? ? ????? ????? ????????.
??????????? ?????????: ??????????? ????? ??????? ???????? ?????? ? ??????.",""
21352,??????,?????,??????,??????????? ??????? ??????????? ?? ??????? ???????? ?????? ,Natali Rudich,07/05/2023 03:47 PM,"*???? ???????????????:*

1) ??????? ???? ""https://ibis.net.ua/""
2) ??????? ??????? ??????????? ????? 


*????????? ????????? :* ????????? ??????????? ??????????? ?? ???? ????????? ????? 

*??????????? ????????? :* ??? ????????? ??????????? ???????, ?????? ???????????? ?? ???.

https://gyazo.com/5085e18c212d6a48b763cec637e4b7d8",""
21351,??????,?????,??????????,??? ??????????? ???????? ????? ? ??????.,Dubrovin Denis,07/05/2023 12:37 PM,"*???? ???????????????:*
1. ??????? ???? https://ibis.net.ua/
2. ??????? ? ?????, ?????? ?????? ""???????? ??????""

https://gyazo.com/dce1fea3411fbd6f61f85e90b646def0

*????????? ?????????:* ????? ?????????, ????? ????? ???????? ???????.
*??????????? ?????????:* ????? ?????????, ??? ??????????? ???????? ?????, ??????????? ?????? ""?????? ?????""",""
